	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	gpt2	1	1	1	BE	sing	expected	Hello, the student is the chameleon.	0.0558229479938744	0.0279114739969372	10.631613731384277	5.315806865692139
1	gpt2	2	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	0.0160983845125883	0.00804919225629415	16.75936985015869	8.379684925079346
2	gpt2	3	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	0.06196033839660224	0.03098016919830112	18.28654432296753	9.143272161483765
3	gpt2	4	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	0.0278548524947836	0.0139274262473918	17.975938320159912	8.987969160079956
4	gpt2	5	3	2	BE	sing	expected	Hello, the chameleon is the student.	0.18664787709712968	0.09332393854856484	7.81538200378418	3.90769100189209
5	gpt2	6	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	0.0296812551096081	0.01484062755480405	14.702844619750977	7.351422309875488
6	gpt2	7	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	0.039659661502810105	0.019829830751405052	16.00437879562378	8.00218939781189
7	gpt2	8	4	2	LIKE	sing	unexpected	Hello, the chameleon like the student.	0.030289610906038298	0.015144805453019149	16.15588140487671	8.077940702438354
8	gpt2	9	5	3	BE	plu	expected	Hello, students are chameleons.	0.38165401990409	0.190827009952045	10.654544001817703	5.3272720009088514
9	gpt2	10	5	3	BE	plu	unexpected	Hello, students is chameleons.	0.10604544273373892	0.05302272136686946	16.718895435333252	8.359447717666626
10	gpt2	11	6	3	LIKE	plu	expected	Hello, students like chameleons.	0.27098067951046684	0.13549033975523342	15.61337351799011	7.806686758995055
11	gpt2	12	6	3	LIKE	plu	unexpected	Hello, students likes chameleons.	0.31477086029976814	0.15738543014988407	23.426445561647416	11.713222780823708
12	gpt2	13	7	4	BE	plu	expected	Hello, chameleons are students.	0.11195596817378821	0.055977984086894104	13.702038764953613	6.851019382476807
13	gpt2	14	7	4	BE	plu	unexpected	Hello, chameleons is students.	0.0653345913889324	0.0326672956944662	20.548861026763916	10.274430513381958
14	gpt2	15	8	4	LIKE	plu	expected	Hello, chameleons like students.	0.03868212201086858	0.01934106100543429	19.53690457344055	9.768452286720276
15	gpt2	16	8	4	LIKE	plu	unexpected	Hello, chameleons likes students.	0.08770095168347321	0.043850475841736604	24.287500143051147	12.143750071525574
